Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,data_source,simulated_weekly_score,simulated_weight_diff
24.0,Male,54.7,1.74,160,167.0,53.0,0.84,772.0,Yoga,22.9,3.6,3.0,1.0,18.07,real,20.393612290402125,-1.8421380634764881
25.0,Male,88.1,1.95,182,131.0,68.0,1.41,1016.0,Cardio,22.7,3.0,2.0,1.0,23.17,real,30.571222262189156,-0.5231067153206053
52.0,Female,59.7,1.71,169,151.0,58.0,1.23,836.0,Strength,34.3,2.0,3.0,1.0,20.42,real,28.436182895684613,0.37612637694745726
31.0,Female,79.7,1.54,184,144.0,59.0,1.03,742.0,Cardio,26.7,2.3,4.0,2.0,33.61,real,24.45459844637266,-0.3391177467792844
34.0,Female,51.0,1.62,162,158.0,53.0,1.42,1122.0,Yoga,30.8,2.4,3.0,2.0,19.43,real,53.24083969394795,-1.42415187744286
53.0,Male,84.2,1.76,165,137.0,69.0,1.67,1133.0,Cardio,12.8,3.5,5.0,3.0,27.18,real,77.87917719583683,-0.3419235604619756
57.0,Male,122.1,1.89,165,134.0,58.0,1.13,750.0,Cardio,27.4,3.6,3.0,1.0,34.18,real,4.460779996940413,1.063284413004393
21.0,Male,96.7,1.72,161,151.0,62.0,1.26,1046.0,Strength,25.0,2.8,3.0,1.0,32.69,real,19.581762888408683,0.6975133724277756
19.0,Female,73.0,1.79,177,125.0,61.0,0.81,506.0,HIIT,27.7,1.6,3.0,1.0,22.78,real,35.30999522495951,-0.34960320749282536
23.0,Male,114.8,1.6,182,163.0,60.0,1.47,1318.0,Cardio,21.7,2.7,4.0,2.0,44.84,real,34.55280119116198,0.46115942164646934
59.0,Female,65.5,1.52,161,162.0,61.0,1.4,1021.0,Yoga,31.2,2.1,3.0,2.0,28.35,real,36.58282476777361,-0.5932056162944415
21.0,Female,50.3,1.52,171,154.0,67.0,1.08,832.0,Cardio,32.2,2.6,3.0,1.0,21.77,real,21.907876241487855,-1.6630972694613753
46.0,Female,61.0,1.71,181,153.0,61.0,1.67,1150.0,Cardio,17.8,2.7,4.0,3.0,20.86,real,83.31263431403563,-1.0395727905036436
35.0,Female,44.6,1.62,196,157.0,65.0,0.56,440.0,HIIT,32.4,2.0,2.0,1.0,16.99,real,29.755451271223592,0.9503110148065583
43.0,Female,58.2,1.61,179,124.0,54.0,1.04,580.0,Strength,26.4,2.6,3.0,2.0,22.45,real,45.2082576215471,-0.5191944654634434
51.0,Female,44.8,1.63,198,137.0,69.0,1.08,666.0,Yoga,33.8,2.1,4.0,2.0,16.86,real,53.14341023336183,-0.49470718350001447
27.0,Male,87.5,1.63,183,135.0,74.0,1.75,1299.0,Strength,12.9,3.5,5.0,3.0,32.93,real,62.04165025993972,-0.5398705570199045
53.0,Male,51.8,1.74,179,127.0,61.0,1.23,773.0,Strength,21.3,3.7,3.0,2.0,17.11,real,38.037933759193294,1.2233092716584055
31.0,Female,64.4,1.7,160,144.0,70.0,1.97,1418.0,Strength,17.3,2.7,5.0,3.0,22.28,real,93.12525822394198,1.0007671322896508
48.0,Female,67.1,1.61,160,151.0,74.0,0.62,421.0,Cardio,33.4,1.5,2.0,1.0,25.89,real,32.22740028570823,1.4750241867585072
32.0,Male,85.9,1.6,176,145.0,60.0,1.99,1587.0,HIIT,14.5,3.5,5.0,3.0,33.55,real,71.45489878419667,-0.427236168320041
25.0,Female,65.4,1.77,160,141.0,58.0,0.89,627.0,Cardio,27.6,2.6,3.0,1.0,20.88,real,35.03532897892024,-0.06350040900232393
31.0,Female,61.1,1.76,189,150.0,67.0,1.81,1358.0,Yoga,18.6,2.7,4.0,3.0,19.72,real,83.61636025047635,-1.5133140395366331
40.0,Male,106.5,1.65,162,162.0,74.0,1.32,1176.0,HIIT,21.0,3.6,4.0,2.0,39.12,real,27.368802453948764,0.8815475408946196
57.0,Female,64.0,1.52,170,129.0,52.0,1.73,1004.0,Strength,15.2,2.7,5.0,3.0,27.7,real,84.56395605508415,-1.2342236410143481
38.0,Female,61.4,1.54,183,131.0,69.0,1.47,963.0,HIIT,30.6,2.7,3.0,2.0,25.89,real,64.0453656646597,-0.1265795489898967
33.0,Female,40.5,1.63,181,147.0,66.0,1.07,786.0,Yoga,31.9,1.5,4.0,2.0,15.24,real,54.64173960890049,-1.1778420221062753
35.0,Male,70.1,1.79,185,125.0,63.0,1.08,743.0,Cardio,28.0,2.3,3.0,2.0,21.88,real,65.64643655814007,-0.7710934613909568
41.0,Male,94.1,1.62,172,139.0,50.0,1.13,777.0,Cardio,23.4,3.1,4.0,2.0,35.86,real,12.512548959102556,-0.9698099448397604
43.0,Male,55.5,1.82,160,124.0,66.0,1.08,663.0,Strength,20.1,2.0,3.0,1.0,16.76,real,33.21902504375224,-0.7863002085406543
42.0,Female,53.7,1.72,183,142.0,74.0,1.37,875.0,Cardio,29.8,1.6,3.0,1.0,18.15,real,25.87047068238171,-0.7312981625191829
58.0,Female,66.1,1.75,169,128.0,57.0,0.63,363.0,Cardio,25.2,1.8,2.0,1.0,21.58,real,17.009926495341325,-0.7386150359400616
46.0,Male,103.9,1.77,194,148.0,54.0,1.18,864.0,Yoga,20.9,2.9,2.0,1.0,33.16,real,8.677607765355027,0.3666671294242458
32.0,Female,61.7,1.58,183,135.0,54.0,1.87,1262.0,HIIT,16.6,2.7,5.0,3.0,24.72,real,65.12431085399108,-1.1838902344500162
18.0,Female,52.3,1.74,187,165.0,58.0,1.2,990.0,Cardio,29.4,2.2,2.0,1.0,17.27,real,17.80328112162488,-0.12356685838890649
42.0,Female,59.5,1.74,195,141.0,52.0,1.78,1129.0,Yoga,16.4,2.7,5.0,3.0,19.65,real,88.57112571511746,0.6743673218444468
24.0,Female,72.9,1.76,175,127.0,68.0,0.86,546.0,Yoga,30.8,1.5,3.0,1.0,23.53,real,39.77894044741516,-0.7105570916107169
26.0,Female,76.7,1.63,199,139.0,72.0,1.08,751.0,Strength,25.6,1.7,2.0,1.0,28.87,real,9.012297817263526,-0.8743351125980814
41.0,Male,72.1,1.83,175,133.0,58.0,1.13,744.0,Yoga,21.4,2.8,3.0,2.0,21.53,real,41.91506397106812,-0.48441970014420066
18.0,Female,54.8,1.68,176,158.0,71.0,1.27,1003.0,Strength,32.0,2.2,4.0,2.0,19.42,real,49.982429564154636,0.6437801666885681
25.0,Male,105.0,1.88,174,156.0,67.0,1.34,1150.0,Cardio,21.4,2.3,3.0,2.0,29.71,real,52.08902117702074,-0.14471389523731382
41.0,Female,55.0,1.55,175,169.0,65.0,1.45,1103.0,Strength,31.4,2.0,4.0,2.0,22.89,real,58.287511096596845,-0.7249714356860788
28.0,Male,81.6,1.66,174,153.0,50.0,1.09,917.0,Yoga,20.5,3.5,4.0,2.0,29.61,real,42.787397962329614,0.08710132095043183
34.0,Female,75.6,1.6,193,130.0,51.0,0.64,416.0,HIIT,29.1,2.7,2.0,1.0,29.53,real,18.33767433113356,-1.1818337198691387
25.0,Male,81.5,1.61,170,159.0,63.0,1.93,1688.0,HIIT,10.9,3.5,4.0,3.0,31.44,real,71.3107754934804,0.24508760835435844
52.0,Female,61.5,1.69,160,152.0,63.0,1.8,1231.0,Cardio,15.5,2.7,4.0,3.0,21.53,real,89.68644990532889,0.02688584616141415
52.0,Male,74.0,1.63,174,150.0,50.0,1.26,936.0,Cardio,25.7,3.7,3.0,2.0,27.85,real,38.70446906122647,-0.5462467769111072
50.0,Female,56.4,1.59,185,163.0,74.0,1.26,924.0,HIIT,34.3,2.6,3.0,1.0,22.31,real,21.723378534022316,-0.970868638757785
22.0,Male,102.6,1.84,163,153.0,65.0,1.25,1052.0,Strength,20.5,2.7,3.0,2.0,30.3,real,38.12891846867842,-1.009344737826766
59.0,Female,54.6,1.57,164,169.0,64.0,0.58,441.0,Cardio,29.2,2.3,3.0,1.0,22.15,real,10.364850518678814,0.1278538690767282
56.0,Male,129.0,1.78,194,126.0,64.0,1.29,805.0,Yoga,27.1,2.7,2.0,1.0,40.71,real,0.0,0.6831844019912496
58.0,Male,103.5,1.66,172,168.0,61.0,1.33,1106.0,Cardio,24.6,3.1,3.0,1.0,37.56,real,8.77055272179889,-0.8098461976230358
45.0,Female,59.4,1.51,169,142.0,65.0,1.15,735.0,Strength,33.1,1.9,4.0,2.0,26.05,real,53.476134566424605,0.06670936284118745
24.0,Female,60.1,1.79,170,165.0,63.0,1.97,1625.0,Cardio,15.9,2.7,4.0,3.0,18.76,real,77.65412866624852,-1.9696216148816552
26.0,Male,77.7,1.62,177,126.0,73.0,1.16,804.0,Yoga,29.6,3.0,3.0,2.0,29.61,real,28.93129257949586,-0.7676941845257597
25.0,Female,41.2,1.62,193,144.0,64.0,1.49,1073.0,Yoga,28.9,2.1,4.0,2.0,15.7,real,50.79354677234641,-0.32484714629672157
29.0,Male,58.6,1.61,198,122.0,72.0,1.2,805.0,Yoga,23.4,2.0,3.0,2.0,22.61,real,46.572854834732304,-1.0277467335854669
51.0,Male,109.3,1.78,182,157.0,64.0,0.54,420.0,Strength,28.7,3.3,3.0,1.0,34.5,real,2.72722730778381,-1.0492050998316769
50.0,Male,69.6,1.96,166,139.0,68.0,0.97,667.0,Strength,25.6,2.0,3.0,1.0,18.12,real,23.38714288333991,-0.834223645175109
40.0,Female,56.2,1.79,198,153.0,57.0,1.79,1369.0,Yoga,17.6,2.7,5.0,3.0,17.54,real,89.04050856814538,-0.06624581733890145
41.0,Male,71.7,1.96,162,168.0,51.0,0.51,424.0,Yoga,27.3,2.5,2.0,1.0,18.66,real,38.8618590121053,-0.4498632147250997
54.0,Male,86.0,1.93,171,163.0,51.0,1.74,1404.0,Strength,12.9,3.5,5.0,3.0,23.09,real,86.74577812831839,-2.0905849866599775
52.0,Female,79.4,1.59,166,163.0,59.0,1.39,1020.0,Strength,26.6,1.5,3.0,2.0,31.41,real,42.96050390722764,-1.9965601221080531
57.0,Female,78.4,1.62,185,149.0,52.0,1.01,677.0,Strength,31.7,2.0,4.0,2.0,29.87,real,46.95054084233833,-0.7854921422857404
39.0,Female,55.4,1.6,192,136.0,72.0,1.44,979.0,HIIT,26.3,1.6,3.0,2.0,21.64,real,30.812287847009586,0.06614926884284167
44.0,Female,61.7,1.55,196,129.0,66.0,1.41,819.0,Strength,33.1,2.6,4.0,2.0,25.68,real,53.714861245507834,-2.4980038741801875
52.0,Male,85.5,1.82,174,154.0,57.0,1.78,1357.0,Yoga,14.9,3.5,4.0,3.0,25.81,real,79.38730209941026,-0.6997841409213046
18.0,Male,87.6,1.93,161,139.0,72.0,1.72,1315.0,HIIT,11.9,3.5,4.0,3.0,23.52,real,100.0,-0.7209982852139369
52.0,Male,82.4,1.72,166,137.0,53.0,1.01,685.0,Strength,24.4,2.7,4.0,2.0,27.85,real,48.80139035218877,0.8106702225667584
54.0,Male,67.0,1.68,191,164.0,63.0,0.55,446.0,Yoga,20.5,2.8,3.0,1.0,23.74,real,28.015473423336125,-0.608017449370291
31.0,Female,42.3,1.6,163,163.0,70.0,1.09,888.0,Cardio,25.1,1.9,3.0,2.0,16.52,real,49.65288230294757,0.006391187792742781
20.0,Male,82.7,1.99,179,146.0,59.0,1.69,1357.0,HIIT,14.6,3.5,5.0,3.0,20.88,real,73.31321962380468,-0.1869942879300294
18.0,Male,92.4,1.74,195,168.0,50.0,1.41,1303.0,Yoga,21.3,3.1,2.0,1.0,30.52,real,23.148228145150206,-2.0044531838457607
22.0,Female,63.2,1.54,191,155.0,53.0,1.02,790.0,Cardio,29.5,2.4,4.0,2.0,26.65,real,60.04433032686775,0.3145657733053899
43.0,Male,82.7,1.85,187,142.0,50.0,1.22,858.0,Yoga,28.2,3.1,4.0,2.0,24.16,real,62.910319470430466,-0.12768279563496962
31.0,Male,86.6,1.76,172,151.0,66.0,1.29,1071.0,Strength,28.9,3.3,3.0,2.0,27.96,real,36.46612545205261,0.10661491173967169
56.0,Male,129.5,1.95,160,129.0,66.0,1.0,639.0,Strength,25.2,3.5,2.0,1.0,34.06,real,20.437943109360987,2.8409901651490617
44.0,Male,98.0,1.83,194,130.0,56.0,1.28,824.0,Cardio,25.7,3.5,4.0,2.0,29.26,real,34.59148937207719,-1.967290351598871
26.0,Male,86.2,1.68,189,157.0,72.0,1.97,1701.0,Strength,13.3,3.5,5.0,3.0,30.54,real,82.5585709380027,1.0797573198088868
32.0,Male,78.6,1.62,195,125.0,69.0,1.28,880.0,Yoga,29.6,3.1,3.0,1.0,29.95,real,39.47955625809979,-0.5299580155202844
32.0,Female,59.0,1.66,184,160.0,64.0,0.51,408.0,Cardio,31.0,1.8,2.0,1.0,21.41,real,10.094636748693116,-0.07013687647759254
43.0,Female,57.3,1.79,175,166.0,62.0,1.98,1479.0,Yoga,17.8,2.7,4.0,3.0,17.88,real,74.33702270397228,-0.3364097962409937
59.0,Male,122.3,1.89,178,153.0,51.0,0.66,500.0,Yoga,20.1,3.1,3.0,1.0,34.24,real,12.13651365087641,-0.6393890667184348
30.0,Male,85.3,1.95,160,155.0,68.0,1.61,1373.0,Yoga,10.4,3.5,5.0,3.0,22.43,real,79.965243458838,-0.755866342591007
49.0,Female,45.2,1.74,164,156.0,73.0,1.24,870.0,Strength,30.8,2.1,3.0,2.0,14.93,real,34.493365689338674,-0.03639301154159269
56.0,Male,55.6,1.92,181,136.0,62.0,0.68,458.0,Strength,29.4,3.2,3.0,1.0,15.08,real,25.685629748060272,-1.5137389573373434
49.0,Male,82.8,1.95,183,159.0,73.0,1.91,1503.0,Yoga,14.3,3.5,5.0,3.0,21.78,real,74.37696286273895,0.3004633340174125
21.0,Male,125.2,1.66,196,159.0,60.0,1.38,1207.0,HIIT,29.8,3.4,3.0,2.0,45.43,real,24.090924306351816,-0.6329555239082032
47.0,Female,58.5,1.79,195,131.0,71.0,1.42,837.0,Yoga,30.3,2.4,4.0,2.0,18.26,real,45.80575765766197,-1.2040554712322862
54.0,Male,86.1,1.95,195,140.0,64.0,1.17,811.0,Yoga,27.9,3.4,2.0,1.0,22.64,real,35.499344050175395,-0.660010286396651
40.0,Female,63.5,1.61,163,159.0,59.0,1.31,1041.0,Cardio,33.4,1.6,3.0,2.0,24.5,real,42.16746707663763,0.7057193734900582
56.0,Male,69.3,1.68,195,138.0,58.0,0.66,451.0,Yoga,26.5,2.1,2.0,1.0,24.55,real,16.779384837943244,-0.7282680696129785
32.0,Female,70.5,1.62,177,122.0,58.0,1.24,756.0,Strength,28.4,1.8,2.0,1.0,26.86,real,25.345172173696696,-0.013237105432303775
46.0,Female,60.1,1.65,175,137.0,69.0,1.69,1042.0,Cardio,17.3,2.7,4.0,3.0,22.08,real,67.69135683566044,-0.8847650205723787
53.0,Male,94.1,1.95,177,138.0,50.0,0.89,608.0,HIIT,28.6,3.5,3.0,1.0,24.75,real,27.274599346041295,0.30633747993889565
30.0,Female,79.2,1.62,181,166.0,66.0,1.26,1046.0,Cardio,28.0,2.5,4.0,2.0,30.18,real,60.301427542824285,0.24840619103216327
49.0,Male,115.3,1.91,161,125.0,61.0,1.38,854.0,HIIT,29.2,3.2,2.0,1.0,31.61,real,0.0,1.1788870666371292
24.0,Female,62.9,1.79,180,135.0,59.0,1.42,958.0,Cardio,27.3,2.3,4.0,2.0,19.63,real,56.84633858532304,-0.4404511563993724
39.0,Male,62.0,1.64,195,127.0,54.0,0.97,678.0,Cardio,27.5,3.2,3.0,1.0,23.05,real,27.598827942484235,0.2349238438063253
45.0,Male,88.5,1.78,198,167.0,67.0,1.53,1265.0,HIIT,13.2,3.5,4.0,3.0,27.93,real,83.42322871777311,-0.22154596836884433
19.0,Female,73.9,1.77,198,137.0,64.0,1.28,877.0,Strength,32.5,2.6,3.0,2.0,23.59,real,37.63049289121918,0.7366974254904115
59.0,Male,50.3,1.95,188,167.0,55.0,1.07,885.0,Strength,24.4,3.4,3.0,1.0,13.23,real,11.795433869157236,-0.8750659100869842
23.0,Male,83.1,1.8,185,162.0,56.0,0.7,624.0,Strength,29.3,3.1,3.0,1.0,25.65,real,29.24441565616898,0.2960042503018249
45.0,Female,65.1,1.78,180,158.0,66.0,1.46,1038.0,Cardio,31.3,2.3,3.0,1.0,20.55,real,27.96984673233186,-0.45575783689334537
45.0,Male,46.6,1.79,176,168.0,55.0,1.46,1214.0,Yoga,22.9,2.4,3.0,2.0,14.54,real,52.504928503458764,-0.3513505416867982
37.0,Male,103.5,1.89,175,168.0,57.0,0.54,499.0,Cardio,26.4,3.1,2.0,1.0,28.97,real,17.50948209496976,-0.22659801244130168
47.0,Female,61.9,1.54,190,131.0,61.0,1.95,1150.0,Yoga,16.4,2.7,4.0,3.0,26.1,real,71.54975278421509,-0.09820768285865805
28.0,Female,52.0,1.61,168,164.0,70.0,1.32,1082.0,Yoga,27.9,2.0,3.0,2.0,20.06,real,52.322536971610035,-0.39298323449756656
45.0,Male,113.4,1.71,190,129.0,63.0,0.83,530.0,Strength,24.0,2.3,2.0,1.0,38.78,real,2.2607247329868105,-0.1282294534635789
42.0,Male,62.9,1.98,173,126.0,61.0,1.42,886.0,Yoga,28.5,3.4,4.0,2.0,16.04,real,47.85648581973632,0.9624944460497475
56.0,Female,40.4,1.8,196,165.0,72.0,1.23,913.0,Cardio,30.0,2.1,4.0,2.0,12.47,real,73.65774511144757,0.48835974849217473
50.0,Female,67.1,1.75,161,120.0,59.0,0.67,362.0,Cardio,31.8,2.7,3.0,1.0,21.91,real,29.738329209117875,0.3953236739975173
18.0,Male,70.0,1.61,173,168.0,71.0,1.3,1201.0,Strength,23.9,2.5,2.0,1.0,27.01,real,5.071965027973514,-0.6644316208190966
44.0,Female,69.5,1.75,192,155.0,69.0,1.02,711.0,HIIT,27.6,2.1,3.0,1.0,22.69,real,31.565536086338298,-1.0113926625826595
30.0,Male,107.9,1.66,194,140.0,64.0,1.08,832.0,Cardio,29.5,2.8,3.0,2.0,39.16,real,19.01318329772679,0.4642404465902023
58.0,Male,109.0,1.91,198,156.0,56.0,1.49,1151.0,Yoga,26.0,2.2,3.0,2.0,29.88,real,50.55084603742452,0.4008374340238355
20.0,Male,101.0,1.91,179,143.0,58.0,1.36,1070.0,Cardio,29.3,2.7,3.0,2.0,27.69,real,57.550955790074035,0.8781365406007855
56.0,Male,88.5,1.85,161,144.0,59.0,1.57,1119.0,Cardio,11.0,3.5,4.0,3.0,25.86,real,70.5031768164829,-0.7831845007753837
23.0,Male,80.9,1.8,178,126.0,59.0,1.55,1074.0,Cardio,10.7,3.5,4.0,3.0,24.97,real,89.63376129244321,-0.48363892428827765
25.0,Female,43.1,1.62,196,161.0,65.0,1.04,837.0,HIIT,33.6,1.8,4.0,2.0,16.42,real,59.12780926936498,-1.6115873300203474
44.0,Female,59.1,1.52,177,136.0,56.0,1.58,967.0,Yoga,18.4,2.7,5.0,3.0,25.58,real,92.3506015999449,-0.6139768848486984
26.0,Female,54.0,1.53,175,148.0,54.0,1.14,844.0,Strength,26.9,1.7,3.0,1.0,23.07,real,43.967929826539475,0.49725640846355784
54.0,Female,72.3,1.78,163,149.0,72.0,1.27,852.0,Cardio,27.7,1.8,2.0,1.0,22.82,real,17.546118839971296,-0.6731963033825583
50.0,Male,51.1,1.98,171,126.0,52.0,0.92,574.0,Yoga,28.0,2.4,2.0,1.0,13.03,real,12.462638356425105,0.2123838361606591
59.0,Male,89.4,1.72,188,152.0,67.0,1.08,813.0,Yoga,24.5,3.2,3.0,1.0,30.22,real,8.27485570374477,-0.45240248479824907
41.0,Male,51.5,1.8,166,126.0,60.0,1.09,680.0,Strength,26.7,2.1,4.0,2.0,15.9,real,46.841897150345616,-0.04075437742275145
32.0,Male,87.9,1.88,173,143.0,64.0,1.52,1195.0,Cardio,11.6,3.5,5.0,3.0,24.87,real,84.22898290585896,-1.218153111852534
49.0,Female,42.0,1.52,171,130.0,70.0,1.1,644.0,HIIT,28.8,2.2,3.0,1.0,18.18,real,28.411519748166437,-0.23183244029287914
49.0,Male,79.2,1.72,194,128.0,69.0,1.46,925.0,Yoga,29.9,3.3,3.0,1.0,26.77,real,25.11190799330019,-2.6929087767205786
41.0,Male,64.8,1.71,164,131.0,54.0,1.2,778.0,Strength,22.5,2.8,3.0,2.0,22.16,real,58.27183249036024,-0.44951692652958786
